"rt","response","ParticipantID","TrialType","ClipID","BlockNum","Condition","SoundCategory","CorrectKey","Accuracy"
NA,NA,"159","Retrieval",124,1,-67.5,"choir",3,NA
3506,"3","159","Retrieval",38,1,180,"choir",3,TRUE
NA,NA,"159","Retrieval",107,1,-90,"acoustic",2,NA
3013,"2","159","Retrieval",79,1,-112.5,"acoustic",2,TRUE
3866,"4","159","Retrieval",108,1,45,"willow",4,TRUE
4632,"1","159","Retrieval",182,1,-45,"choir",2,FALSE
3344,"3","159","Retrieval",15,1,-22.5,"guitar",4,FALSE
3541,"1","159","Retrieval",75,1,22.5,"willow",3,FALSE
3390,"1","159","Retrieval",23,1,-157.5,"acoustic",1,TRUE
3077,"4","159","Retrieval",152,1,90,"willow",1,FALSE
3048,"1","159","Retrieval",12,1,157.5,"choir",3,FALSE
4447,"1","159","Retrieval",119,1,67.5,"willow",2,FALSE
4011,"2","159","Retrieval",179,1,135,"guitar",2,TRUE
3187,"4","159","Retrieval",172,1,112.5,"guitar",2,FALSE
3065,"2","159","Retrieval",47,1,-135,"acoustic",2,TRUE
3088,"4","159","Retrieval",53,1,0,"guitar",2,FALSE
4301,"1","159","Retrieval",11,2,157.5,"choir",3,FALSE
3669,"1","159","Retrieval",185,2,135,"guitar",1,TRUE
4447,"3","159","Retrieval",130,2,90,"willow",3,TRUE
4522,"2","159","Retrieval",159,2,-67.5,"choir",4,FALSE
3855,"3","159","Retrieval",19,2,180,"choir",3,TRUE
4603,"3","159","Retrieval",55,2,22.5,"willow",1,FALSE
4627,"3","159","Retrieval",118,2,67.5,"willow",3,TRUE
4174,"2","159","Retrieval",59,2,0,"guitar",4,FALSE
5143,"3","159","Retrieval",92,2,45,"willow",1,FALSE
4522,"1","159","Retrieval",170,2,112.5,"guitar",1,TRUE
3936,"4","159","Retrieval",160,2,-45,"choir",3,FALSE
4423,"4","159","Retrieval",39,2,-157.5,"acoustic",3,FALSE
4058,"4","159","Retrieval",58,2,-135,"acoustic",1,FALSE
3936,"4","159","Retrieval",105,2,-90,"acoustic",1,FALSE
3762,"1","159","Retrieval",83,2,-112.5,"acoustic",3,FALSE
4934,"3","159","Retrieval",3,2,-22.5,"guitar",1,FALSE
3988,"3","159","Retrieval",149,3,90,"willow",3,TRUE
3849,"2","159","Retrieval",7,3,-22.5,"guitar",4,FALSE
4458,"3","159","Retrieval",104,3,-90,"acoustic",1,FALSE
5428,"4","159","Retrieval",139,3,-67.5,"choir",2,FALSE
5788,"2","159","Retrieval",120,3,67.5,"willow",4,FALSE
4249,"3","159","Retrieval",181,3,-45,"choir",1,FALSE
4621,"1","159","Retrieval",13,3,180,"choir",1,TRUE
4156,"3","159","Retrieval",94,3,45,"willow",2,FALSE
4075,"3","159","Retrieval",183,3,135,"guitar",3,TRUE
4151,"1","159","Retrieval",66,3,22.5,"willow",1,TRUE
4040,"1","159","Retrieval",46,3,0,"guitar",1,TRUE
4029,"2","159","Retrieval",44,3,-157.5,"acoustic",3,FALSE
5323,"4","159","Retrieval",168,3,112.5,"guitar",4,TRUE
NA,NA,"159","Retrieval",60,3,-135,"acoustic",3,NA
4510,"1","159","Retrieval",96,3,-112.5,"acoustic",4,FALSE
3704,"4","159","Retrieval",10,3,157.5,"choir",4,TRUE
5149,"4","159","Retrieval",167,4,135,"willow",3,FALSE
3825,"4","159","Retrieval",76,4,-112.5,"choir",1,FALSE
